timesteps,curriculum_stage,mean_reward,std_reward,mean_episode_length,std_episode_length,success_rate,collision_rate,safety_violation_rate,timeout_rate,mean_path_length,mean_final_goal_dist,mean_min_collision_clearance,mean_min_safety_clearance,success_mean_reward,success_mean_episode_length
25000,4,119.5639750668779,51.648073835553504,89.625,24.0465044237203,0.125,0.875,1.0,0.0,21.945467873010784,6.112106658518314,-0.029513567686080933,-0.2795135974884033,255.66987718641758,153.0
50000,4,116.90330848985468,99.01862600357745,127.0,75.73638491504595,0.25,0.75,1.0,0.0,26.612159988144413,5.45066724717617,-0.021701157093048096,-0.2717012017965317,266.29514324851334,153.0
75000,4,-940.3881132394235,696.4450692843711,3278.25,1804.363928784878,0.25,0.0,0.25,0.75,52.67708019598081,5.700210869312286,1.0799127668142319,0.8299127519130707,265.04908725991845,153.0
100000,4,-735.7910481861018,1463.9832364288516,1193.5,1805.745206279114,0.25,0.5,0.75,0.25,60.58881783257675,5.20025984197855,0.1078513115644455,-0.14214874804019928,265.5743576362729,153.0
125000,4,-290.7356675275432,302.32791150804866,2730.875,2051.5518783045677,0.0,0.375,0.625,0.625,41.76888002137457,6.31526780128479,0.2189750149846077,-0.031025059521198273,nan,nan
150000,4,-529.7663079980493,529.9087159261144,3278.25,1804.363928784878,0.25,0.0,0.25,0.75,39.427886647724335,3.7972216978669167,0.6334921270608902,0.3834920972585678,268.6630878848955,153.0
175000,4,-1133.4188256334633,763.9403437019922,3272.125,1815.024823349532,0.125,0.125,0.75,0.75,37.98016314761469,4.111136049032211,0.13929502665996552,-0.11070506274700165,265.74883002694696,156.0
200000,4,-250.18949874789269,698.6402393185115,1244.5,1777.1000956614685,0.25,0.5,0.875,0.25,30.557858624552864,2.9540365785360336,0.07335930317640305,-0.17664071172475815,267.6144139189273,157.0
225000,4,63.70021839827132,360.18822451165664,747.625,1353.270015323993,0.5,0.375,0.875,0.125,33.339578736110525,1.6185777112841606,0.11571916192770004,-0.13428086787462234,279.4300557561219,160.25
250000,4,404.16999017026683,243.85989740045773,675.625,480.5335413631394,0.625,0.375,0.5,0.0,32.89953656731723,1.770495943725109,0.21697376668453217,-0.033026322722435,559.8460756745887,954.8
275000,4,365.9853563468205,216.3089273641409,428.5,275.3697514252428,0.75,0.25,0.5,0.0,28.552355615072884,1.6868744790554047,0.3580031841993332,0.10800313949584961,465.9738900659916,520.6666666666666
300000,4,435.68616414020653,278.48816991202864,486.75,288.04459290186304,0.625,0.375,0.375,0.0,29.76199740607899,2.275141939520836,0.48187586665153503,0.23187585175037384,648.8507495380939,709.6
325000,4,185.63585095660528,168.70928839970736,215.375,142.41746513331853,0.375,0.625,0.875,0.0,26.752662736922503,3.9600884839892387,0.08006754517555237,-0.16993248462677002,369.63908161285025,300.6666666666667
350000,4,4.248196289961925,112.27596843175152,184.875,30.505890824560428,0.125,0.875,1.0,0.0,24.661554672769853,4.096445754170418,-0.013292625546455383,-0.26329272985458374,265.646568082273,155.0
375000,4,247.12632283265702,66.0107661094476,232.0,73.69531871157082,0.75,0.25,1.0,0.0,28.817175951000536,1.3671394810080528,0.052517637610435486,-0.19748236238956451,284.02666879740235,238.16666666666666
400000,4,110.3715382568771,65.47558072950262,144.75,60.429194103512586,0.125,0.875,1.0,0.0,23.943012677133083,5.551646836102009,-0.010522767901420593,-0.26052282750606537,282.1886027082801,165.0
425000,4,79.05741616070736,140.66596231840282,364.0,153.28894284976982,0.125,0.875,1.0,0.0,35.908224854609216,3.637055851519108,0.0037027373909950256,-0.24629727751016617,379.77415096201,610.0
450000,4,135.5183472505596,184.8573494456415,257.5,48.587549845613744,0.125,0.875,1.0,0.0,27.70162402063579,3.5338559672236443,-0.002684853971004486,-0.25268489867448807,503.6115673929453,315.0
475000,4,201.30211783650702,150.0832888450677,255.75,131.13614109009004,0.125,0.875,1.0,0.0,26.771844053495442,4.347518190741539,-0.0205560103058815,-0.2705560103058815,561.3332091420889,373.0
500000,4,244.82762857223133,145.88506147971282,418.25,215.6587292460011,0.25,0.75,0.875,0.0,34.08010127769376,2.8068445324897766,0.11268378794193268,-0.1373162865638733,495.8444056749868,742.5
525000,4,246.4008851153776,199.17035358952702,211.5,108.47580375364821,0.375,0.625,1.0,0.0,26.931836758107238,4.234949953854084,-0.0009182319045066833,-0.25091829150915146,503.0367274316183,333.0
550000,4,562.6578277969056,169.18774502982274,864.875,718.8329843398952,0.875,0.125,0.625,0.0,32.495490393119326,1.2498730793595314,0.24311146885156631,-0.0068886056542396545,625.3042748107733,973.8571428571429
575000,4,172.88889145347275,369.3963859939999,1302.75,1750.8805463251913,0.375,0.375,0.5,0.25,33.621076258790026,4.0583974570035934,0.3590080291032791,0.10900796949863434,586.7317725665247,497.3333333333333
600000,4,382.37445537521126,180.1904478701379,478.375,225.106051395781,0.875,0.125,0.5,0.0,33.05101478510369,1.2818395495414734,0.38581106811761856,0.13581103831529617,418.97493062177506,532.4285714285714
625000,4,280.6064875299071,219.97882710487542,354.0,270.98477817028765,0.5,0.5,0.5,0.0,29.239677330375343,3.7671517357230186,0.41989438980817795,0.16989433020353317,464.68463345821147,611.0
650000,4,638.4498157208836,76.32840989758533,732.875,187.5336219854989,1.0,0.0,0.125,0.0,36.76264307483689,0.7127734944224358,0.5792391523718834,0.3292391523718834,638.4498157208836,732.875
675000,4,529.3627468971245,163.52455371387117,484.0,191.66311590913887,0.875,0.125,0.125,0.0,32.2184995098869,1.2100832983851433,0.7302287817001343,0.4802287817001343,586.7659727196276,538.7142857142857
700000,4,659.9671474916831,218.0146533615675,573.125,230.45413724860745,0.875,0.125,0.125,0.0,32.09713867434766,1.236838936805725,0.7393358498811722,0.4893358498811722,736.4441415409923,640.8571428571429
725000,4,644.6467571131652,89.91164059729661,537.875,150.13280579207196,1.0,0.0,0.125,0.0,31.09951127837121,0.6479863598942757,0.7712069228291512,0.5212069228291512,644.6467571131652,537.875
750000,4,605.6715855668008,84.82481929328618,550.375,153.24892944161144,1.0,0.0,0.125,0.0,29.957624470293013,0.6452393904328346,0.6995406001806259,0.4495406001806259,605.6715855668008,550.375
775000,4,489.18512600223767,215.34196911799572,509.125,237.36861497468448,0.75,0.25,0.25,0.0,29.550704292218143,1.8064070418477058,0.4312197044491768,0.1812197044491768,610.5155970768537,645.8333333333334
800000,4,499.4867570248316,158.79021891781971,403.125,179.388849639547,0.875,0.125,0.375,0.0,28.603162948755198,1.2168414518237114,0.5743355974555016,0.32433559745550156,551.9501970108997,446.42857142857144
825000,4,589.9150094965589,52.61407653441233,482.5,116.30670659940466,1.0,0.0,0.125,0.0,32.163950809277594,0.6473514065146446,0.9650448933243752,0.7150448933243752,589.9150094965589,482.5
850000,4,607.6513643670332,193.67092705839838,419.0,137.07023746970017,0.875,0.125,0.25,0.0,30.193310908938656,1.2473919242620468,1.3166569247841835,1.0666568502783775,676.597746846449,464.85714285714283
875000,4,475.13315014489126,473.78955642049374,976.875,1269.465186358019,0.875,0.0,0.25,0.125,34.000666302770696,1.341325968503952,0.7590320557355881,0.5090320706367493,652.5730378517682,499.2857142857143
900000,4,616.0676078464312,119.39945539615363,458.75,102.70558650823236,1.0,0.0,0.25,0.0,30.889390034997632,0.6785672381520271,0.8295288607478142,0.5795288160443306,616.0676078464312,458.75
925000,4,601.7484744349204,130.42959653928875,436.5,143.89840165894825,1.0,0.0,0.5,0.0,29.29302701054985,0.6895847842097282,0.8651067763566971,0.6151067167520523,601.7484744349204,436.5
950000,4,509.8840897104674,56.104613734209536,458.75,165.3842117615826,1.0,0.0,0.625,0.0,28.80952847988192,0.6445146948099136,0.2580581605434418,0.008058160543441772,509.8840897104674,458.75
975000,4,583.0369610850314,63.706989677075555,417.375,69.66874747689957,1.0,0.0,0.0,0.0,31.38156945271112,0.6472814679145813,0.6388310492038727,0.3888310343027115,583.0369610850314,417.375
1000000,4,584.7090563267338,75.58074064613231,411.25,51.859786925902426,1.0,0.0,0.375,0.0,30.319712430598884,0.6475994437932968,0.5175510570406914,0.2675510421395302,584.7090563267338,411.25
1025000,4,695.2498492560699,32.93589869764125,472.375,77.63526502176701,1.0,0.0,0.25,0.0,30.75776634082058,0.6590395644307137,0.2986956909298897,0.04869569092988968,695.2498492560699,472.375
1050000,4,608.2466037084378,30.769966961042105,417.125,60.53808202280611,1.0,0.0,0.125,0.0,30.95524478806692,0.6486871987581253,0.7412614822387695,0.49126143753528595,608.2466037084378,417.125
1075000,4,751.5145302080782,454.9183821948398,918.25,1287.8850637770438,0.875,0.0,0.125,0.125,33.67828143488396,0.7635192275047302,0.6311097294092178,0.38110969960689545,579.7243370366549,432.2857142857143
1100000,4,481.4053759921462,127.80035958124905,384.75,105.30995916816225,0.875,0.125,0.625,0.0,30.53985760444266,1.0242041274905205,0.5109409764409065,0.26094093173742294,525.455434490754,412.14285714285717
1125000,4,500.10963506708504,145.43494739851252,371.25,125.52564479021807,0.875,0.125,0.375,0.0,28.26956322026308,1.3052139803767204,0.2930402085185051,0.043040208518505096,554.2044191668143,410.14285714285717
