timesteps,curriculum_stage,mean_reward,std_reward,mean_episode_length,std_episode_length,success_rate,collision_rate,safety_violation_rate,timeout_rate,mean_path_length,mean_final_goal_dist,mean_min_collision_clearance,mean_min_safety_clearance,success_mean_reward,success_mean_episode_length
25000,4,2204.869553004597,1005.6625281487102,3397.875,1433.9804250320155,0.375,0.25,0.625,0.375,30.30799118083405,5.021521545946598,0.3906787037849426,0.14067865908145905,3054.888345524751,4128.666666666667
50000,4,-2098.338051319666,3165.956233609144,2373.5,1421.8787747202643,0.0,0.75,1.0,0.25,29.387886045933556,3.9117806553840637,-0.0008120909333229065,-0.2508120909333229,nan,nan
75000,4,540.0298984704459,341.8764978743354,779.25,426.79115208729434,0.5,0.5,1.0,0.0,24.010598175783343,3.878592275083065,0.04983446002006531,-0.2001655548810959,868.5757099760303,1194.5
100000,4,426.4930455030408,713.339204782962,723.125,1359.7303443606015,0.0,0.875,1.0,0.125,24.390110253814328,6.071469575166702,-0.008335843682289124,-0.2583358436822891,nan,nan
125000,4,151.96678873780183,11.539456214651157,196.75,22.504166280935625,0.0,1.0,1.0,0.0,20.040834386192728,6.8653624057769775,-0.016697339713573456,-0.26669739931821823,nan,nan
150000,4,133.7703612409532,15.176435080778838,144.875,8.084514518510064,0.0,1.0,1.0,0.0,21.750157583795954,6.600940227508545,-0.023679010570049286,-0.27367905527353287,nan,nan
175000,4,119.7622944098257,13.9005348706374,125.0,7.648529270389178,0.0,1.0,1.0,0.0,22.385402701911516,6.711348116397858,-0.03461785614490509,-0.2846178710460663,nan,nan
200000,4,109.39650005963631,8.933329778982372,103.0,4.031128874149275,0.0,1.0,1.0,0.0,19.81457866194978,6.7592737674713135,-0.027546755969524384,-0.27754678577184677,nan,nan
225000,4,107.62997361086309,10.697890248416412,97.375,5.383713866839507,0.0,1.0,1.0,0.0,21.830032738274895,6.517275393009186,-0.021466508507728577,-0.27146652340888977,nan,nan
250000,4,124.0112123740837,64.51744267070792,97.5,34.23813663153998,0.125,0.875,1.0,0.0,23.263928910251707,6.112466678023338,-0.02889023721218109,-0.2788902521133423,294.4006096050143,188.0
275000,4,147.04069439298473,85.27825888053357,105.0,41.611296543126365,0.25,0.75,1.0,0.0,20.772922366159037,5.438069470226765,-0.010529421269893646,-0.26052945107221603,294.5989583283663,177.0
