timesteps,curriculum_stage,mean_reward,std_reward,mean_episode_length,std_episode_length,success_rate,collision_rate,safety_violation_rate,timeout_rate,mean_path_length,mean_final_goal_dist,mean_min_collision_clearance,mean_min_safety_clearance,success_mean_reward,success_mean_episode_length
5000,4,-4414.93914909529,563.2924701466746,4320.0,0.0,0.0,0.0,0.0,1.0,76.44488414109655,13.692231464385987,4.66873574256897,4.418735551834106,nan,nan
10000,4,-466.36529096288285,1260.0948966641681,1039.3,1640.3952602955178,0.0,0.8,0.8,0.2,28.632296398499058,4.734258556365967,0.04476456642150879,-0.20523543357849122,nan,nan
15000,4,249.26766274697147,122.74690071151528,347.5,189.51530281220036,0.4,0.6,1.0,0.0,28.875489801482765,3.900596487522125,0.025558161735534667,-0.2244418740272522,397.1741081131622,570.75
20000,4,163.53429359963047,101.14907080880708,245.7,82.56881978083494,0.2,0.8,0.9,0.0,24.313617523666473,4.240139365196228,0.036897283792495725,-0.21310272812843323,363.5938624024566,275.5
25000,4,307.38994054587675,94.74658195173929,297.1,104.36134341795336,0.8,0.2,0.7,0.0,27.75795107251033,1.7303893327713014,0.15315489768981932,-0.09684511423110961,349.4975091900924,332.375
30000,4,244.9427847109735,154.9909240341534,256.5,10.346496991735899,0.5,0.5,0.5,0.0,25.935791408084334,2.697725313901901,0.25355669260025027,0.003556632995605469,399.5756362032145,266.4
35000,4,257.09489318402484,118.78564214830088,277.6,116.94289204564767,0.7,0.3,0.4,0.0,25.498047457821666,2.5563495218753816,0.2543891489505768,0.004389148950576782,332.0084947960983,339.0
40000,4,211.5633043655427,127.87434230476777,225.1,70.89774326450737,0.6,0.4,0.8,0.0,25.863792701205238,3.253661370277405,0.11096629500389099,-0.139033704996109,314.511000324972,264.3333333333333
45000,4,300.2830649984768,138.62490198076011,263.9,85.22024407381147,0.8,0.2,0.2,0.0,27.244990317086923,1.94112286567688,0.31918983459472655,0.06918983459472657,361.1854913092393,295.0
50000,4,250.58266935120338,100.75371883950775,213.8,42.56242474295843,0.8,0.2,0.4,0.0,25.27072359714657,1.9264561235904694,0.21432651877403258,-0.035673481225967404,299.49515626521315,225.375
55000,4,283.5880670039216,126.60070938977856,236.8,98.21995723884226,0.7,0.3,0.5,0.0,25.51373089561239,2.604788601398468,0.39473649859428406,0.1447364866733551,360.119857025233,292.0
60000,4,199.97702905243204,115.99277295028078,257.0,111.8695669071799,0.5,0.5,0.7,0.0,26.70544191278168,3.1835222840309143,0.17339676022529601,-0.07660323977470399,304.59052845449185,298.4
65000,4,261.5491525474441,139.01053838878278,237.9,79.54175004360917,0.6,0.4,0.6,0.0,26.179116569506004,3.162156158685684,0.4324635922908783,0.1824635624885559,361.22373642500315,302.8333333333333
70000,4,291.51168828923255,125.91876261855798,213.9,73.96681688432996,0.7,0.3,0.3,0.0,26.46110146837309,2.5593909204006193,0.531129002571106,0.281128990650177,370.87924676840856,252.28571428571428
75000,4,287.9288273543119,123.76656056933044,260.0,54.90355179767517,0.8,0.2,0.3,0.0,28.420260879863054,1.6057937681674956,0.5601178765296936,0.3101177871227264,338.7498557176441,285.75
80000,4,279.8315491761547,111.60379875330426,226.2,51.403890903315876,0.8,0.2,0.4,0.0,27.312951701587007,1.8861266553401947,0.5128467857837677,0.26284675002098085,319.16275206772843,238.75
85000,4,270.0527252125488,118.97661055092279,264.5,44.43478367225388,0.7,0.3,0.5,0.0,27.468188282623306,2.5176979839801787,0.39006428718566893,0.14006428718566893,338.1607695656702,242.28571428571428
90000,4,205.5630282752216,104.57488646964073,237.0,41.46082488325576,0.5,0.5,0.8,0.0,26.017513846166548,2.6110969722270965,0.20844690799713134,-0.041553163528442384,276.23322581872344,277.0
95000,4,194.5920071698609,104.59327001735926,169.5,53.14367318881901,0.4,0.6,0.8,0.0,23.66306160064414,4.40349235534668,0.17349750995635987,-0.07650249600410461,318.42661735601723,230.75
100000,4,317.1534007927636,36.06412229724534,210.3,29.19948629685118,1.0,0.0,0.1,0.0,27.907277552597225,0.6226431548595428,0.5627046585083008,0.3127046525478363,317.1534007927636,210.3
105000,4,319.4828655520454,78.32058506919944,210.1,27.256008511885963,0.9,0.1,0.1,0.0,27.505262849479912,0.9989795982837677,0.6557221651077271,0.4057221531867981,344.44432305399744,215.0
110000,4,521.2113477105856,575.8166965266051,638.2,871.7591181054547,0.8,0.2,0.5,0.0,28.92099861478855,2.009673595428467,0.49432907104492185,0.2443290650844574,621.7235161306598,768.125
115000,4,-36.88036412884539,696.1611517819715,1011.8,1654.259399247893,0.7,0.1,0.1,0.2,29.266886897157384,2.823694622516632,0.6472515285015106,0.3972515046596527,336.02451837408756,192.14285714285714
