timesteps,curriculum_stage,mean_reward,std_reward,mean_episode_length,std_episode_length,success_rate,collision_rate,safety_violation_rate,timeout_rate,mean_path_length,mean_final_goal_dist,mean_min_collision_clearance,mean_min_safety_clearance,success_mean_reward,success_mean_episode_length
5000,4,-4346.77891190261,569.9216874246845,4320.0,0.0,0.0,0.0,0.0,1.0,405.72189908432193,13.695326709747315,4.668111896514892,4.418111777305603,nan,nan
10000,4,-41.87304992451973,304.05008328129634,373.5,249.96369736423728,0.0,1.0,1.0,0.0,48.25299984565936,5.414800906181336,-0.011974507570266723,-0.2619745314121246,nan,nan
15000,4,162.05289315194824,83.77148708118574,155.9,49.08248159985393,0.2,0.8,1.0,0.0,30.7115025987383,5.740626710653305,0.02050378918647766,-0.2294962465763092,329.37376176333055,249.0
20000,4,410.0065010689199,313.71036815374737,1431.6,1892.0230548278212,0.3,0.4,0.9,0.3,145.48070011270465,3.362435632944107,0.09666520953178406,-0.15333483815193177,333.1687498136113,281.0
25000,4,141.72050022426993,79.22535778200277,136.2,33.671352809175936,0.1,0.9,0.9,0.0,29.707980100018904,6.376475828886032,0.033489185571670535,-0.21651082634925842,378.82544331252575,236.0
30000,4,202.65122387159937,108.10375575006351,160.1,50.22638748705704,0.4,0.6,0.8,0.0,30.98262913483195,4.487139040231705,0.09024015069007874,-0.15975987315177917,334.2864241360767,221.25
35000,4,161.1721416446322,102.62491901879827,128.0,44.63182720884279,0.2,0.8,0.8,0.0,28.458662647544408,5.768339455127716,0.09114505052566528,-0.15885498523712158,366.2138733220927,216.5
40000,4,138.80388630796224,108.61903251442118,143.8,44.14702707997448,0.2,0.8,0.8,0.0,29.102142036741135,5.015159183740616,0.09569997787475586,-0.15430010557174684,349.8769853711128,199.5
45000,4,128.77061570058578,106.24790564232221,193.4,49.9143266006865,0.3,0.7,0.8,0.0,31.298580526094884,4.576640731096267,0.06374121308326722,-0.18625878691673278,263.19063251217204,210.33333333333334
50000,4,258.19429542655126,140.28232533480673,224.6,76.4764015889869,0.6,0.4,0.5,0.0,34.713336019148116,3.052002412080765,0.2770739734172821,0.02707393765449524,363.79806395433843,275.1666666666667
55000,4,193.02110550496727,78.90283503523987,174.7,34.28133602997409,0.3,0.7,1.0,0.0,33.98453172082081,4.011456853151321,0.043520450592041016,-0.20647954940795898,311.61880226743716,224.0
60000,4,188.650875404058,81.70535718621119,167.7,35.763249293094155,0.3,0.7,0.8,0.0,32.800495476892685,4.663480204343796,0.04380370974540711,-0.2061962902545929,310.02917162065086,203.0
65000,4,250.27388716670686,103.26575457407324,193.1,49.08451894436779,0.6,0.4,0.6,0.0,32.31218249286758,2.848070925474167,0.17780632376670838,-0.07219370007514954,333.52908942095627,232.16666666666666
70000,4,229.46435099523515,103.00548172402759,171.3,35.8275034017164,0.5,0.5,0.5,0.0,31.216455000196582,3.699616700410843,0.16450924277305604,-0.08549078106880188,332.39872095920146,206.4
75000,4,210.05321372053587,117.60513699375042,193.8,39.2168331204854,0.3,0.7,0.7,0.0,35.301526454556736,5.003820848464966,0.15506840944290162,-0.0949316143989563,388.94932282716036,215.66666666666666
80000,4,124.99365480413398,12.517848174879191,146.4,27.188968351153008,0.0,1.0,1.0,0.0,29.20488195978105,6.657765817642212,-0.0294036865234375,-0.27940371036529543,nan,nan
85000,4,176.0271769169718,95.50291651816364,147.3,32.981964768642875,0.3,0.7,0.7,0.0,31.142964380560443,5.072703784704208,0.060106849670410155,-0.18989317417144774,321.35211118186515,191.0
90000,4,167.93396703523467,86.14002406032799,156.5,27.846902879853623,0.2,0.8,0.8,0.0,29.403779360937186,5.392420220375061,0.07640402913093566,-0.1735960066318512,337.36994259408675,185.5
95000,4,162.48100579083547,61.645293264195594,173.5,24.743686063317245,0.2,0.8,1.0,0.0,33.3640963375452,5.324361377954483,0.020561933517456055,-0.22943810224533082,282.6375840622932,166.0
100000,4,147.53287181558554,51.09054203985313,146.7,12.625767303415664,0.1,0.9,0.9,0.0,28.27119519682601,6.216400122642517,-0.010622227191925048,-0.2606222629547119,297.5762132424861,164.0
105000,4,159.76678854926723,69.6830954089675,189.4,37.68076432345819,0.2,0.8,0.8,0.0,33.720534467732065,5.3829285383224486,0.03498835563659668,-0.21501170396804808,298.06615791656077,166.0
110000,4,163.03230805229396,78.76931095823748,152.2,17.634057956125698,0.3,0.7,0.9,0.0,29.284299358911813,4.825938850641251,0.04389297366142273,-0.20610706210136415,279.88813965395093,163.0
115000,4,185.8070971227484,70.42372572694994,161.6,49.78795034945704,0.4,0.6,1.0,0.0,31.106447316054254,4.244645065069198,0.042052334547042845,-0.20794767737388611,268.9952290871297,195.25
120000,4,148.36420457088389,72.73659237042654,154.9,18.360010893242954,0.2,0.8,1.0,0.0,29.49163678494515,5.422467571496964,0.004411524534225464,-0.2455885112285614,285.45963468705304,168.0
